county,district,section,number,xcenter,ycenter
桃園市,龍潭區,銅鑼圈段,692-3,121.211557788355,24.8157138426385
桃園市,平鎮區,振平段,19,121.22195667964,24.945437682298497
桃園市,平鎮區,高雙段,1060,121.19114070141501,24.9424075677675
桃園市,平鎮區,高雙段,1067-2,121.19107258317,24.9425324749045
桃園市,平鎮區,廣西段,311,121.207880013725,24.951178696569002
桃園市,平鎮區,山子頂段,235-6,121.21783843871,24.90302981872
桃園市,新屋區,崁頭厝段下庄子小段,291,121.02803787539,24.9855330636175
桃園市,新屋區,石牌嶺段,1082,121.05858178446499,24.9962169328355
桃園市,蘆竹區,五福段,188,121.2199635619,24.865678918310998
桃園市,大園區,圳股頭段圳股頭小段,357,121.20908310945501,25.075643126231
桃園市,蘆竹區,中興段,1102-1,121.331375029795,24.992859060294002
桃園市,蘆竹區,南崁廟口段蕃子厝小段,26-9,121.293766822515,25.068517476312
桃園市,桃園區,埔子段八角店子小段,157-16,121.27518547027,25.0125682530175
桃園市,桃園區,中平段,342,121.2951411226,24.989507008045003
桃園市,桃園區,中平段,344,121.29505030962,24.9894413135445
桃園市,桃園區,中平段,340,121.295091727405,24.989300855507
桃園市,觀音區,金湖段,886-1,121.10833554455999,25.012926464611
桃園市,觀音區,金湖段,886-2,121.10845477352501,25.0127532669675
桃園市,中壢區,興和段,724,121.215198323585,24.9805365671075
桃園市,中壢區,興南段興南小段,182-3,121.2190510027,24.958667164913003
桃園市,大溪區,仁善段,1318-1,121.27529923668,24.897995401072002
桃園市,大溪區,三層段三層小段,1841,121.29303685734,24.853857875045
桃園市,大溪區,三層段尾寮小段,822,121.30260086765,24.876408114916
桃園市,新屋區,高洲段,1201,121.15953092829,24.961741642725002
桃園市,楊梅區,啟明段,960-8,121.164602801025,24.934000360717498
桃園市,平鎮區,東勢段東勢小段,133-2,121.23832933275,24.890022533278
桃園市,八德區,同福段,51,121.30899401971,24.965447292409998
桃園市,八德區,大庄段,2814-32,121.296185049635,24.940519717227502
桃園市,大園區,埔心段埔心小段,1859-4,121.21465329879,25.0385485115175
桃園市,蘆竹區,南山段,243,121.28426070393999,25.070311384269502
桃園市,蘆竹區,大竹圍段,103-7,121.24612487593001,25.044512267871
桃園市,中壢區,五權段,919,121.19530852906499,24.961341472479
桃園市,龜山區,半嶺段,744,121.34481060652,24.997076196265
桃園市,平鎮區,三興段,480,121.212600930845,24.911350031163003
桃園市,新屋區,石牌嶺段,621,121.05434050477,25.008876743167498
桃園市,大園區,圳股頭段圳股頭小段,358,121.20896117993999,25.075840276724
桃園市,大園區,圳股頭段圳股頭小段,359,121.20884650007,25.0760064267185
