編號,重劃區名稱,鄉鎮市區,地段,地號,土地面積(m2),使用分區,縣市,coordinate,id,DBSCAN,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4
4,大竹市地重劃,蘆竹區,大新段,106,464.64,住宅區,桃園市,"25.01774440193183,121.26254618167606",11,2,2,"25.017643938897432,121.26184836029923","25.044726520267893,121.26184836029923","24.99056135752697,121.26184836029923","25.017643938897432,121.29155654092442","25.017643938897432,121.23214017967403"
4,大竹市地重劃,蘆竹區,大新段,116,356.35,住宅區,桃園市,"25.01767026995952,121.26219213009249",12,2,2,"25.017643938897432,121.26184836029923","25.044726520267893,121.26184836029923","24.99056135752697,121.26184836029923","25.017643938897432,121.29155654092442","25.017643938897432,121.23214017967403"
4,大竹市地重劃,蘆竹區,大新段,118,322.12,住宅區,桃園市,"25.0176253046431,121.26190781592813",13,2,2,"25.017643938897432,121.26184836029923","25.044726520267893,121.26184836029923","24.99056135752697,121.26184836029923","25.017643938897432,121.29155654092442","25.017643938897432,121.23214017967403"
4,大竹市地重劃,蘆竹區,大新段,160,516.24,住宅區,桃園市,"25.017716450537872,121.2615698576",14,2,2,"25.017643938897432,121.26184836029923","25.044726520267893,121.26184836029923","24.99056135752697,121.26184836029923","25.017643938897432,121.29155654092442","25.017643938897432,121.23214017967403"
4,大竹市地重劃,蘆竹區,大新段,161,254.11,住宅區,桃園市,"25.01757304763241,121.26156046986388",15,2,2,"25.017643938897432,121.26184836029923","25.044726520267893,121.26184836029923","24.99056135752697,121.26184836029923","25.017643938897432,121.29155654092442","25.017643938897432,121.23214017967403"
4,大竹市地重劃,蘆竹區,大新段,163,244.68,住宅區,桃園市,"25.017534158679847,121.2613137066349",16,2,2,"25.017643938897432,121.26184836029923","25.044726520267893,121.26184836029923","24.99056135752697,121.26184836029923","25.017643938897432,121.29155654092442","25.017643938897432,121.23214017967403"
6,大湳市地重劃,八德區,大福段,597,216.88,住宅區,桃園市,"24.972514372294818,121.29762679339258",17,3,3,"24.971490166877924,121.2975676051742","24.998572748248385,121.2975676051742","24.944407585507463,121.2975676051742","24.971490166877924,121.32727578579939","24.971490166877924,121.267859424549"
6,大湳市地重劃,八德區,大福段,602,522.85,商業區,桃園市,"24.971927175618664,121.29822090268584",18,3,3,"24.971490166877924,121.2975676051742","24.998572748248385,121.2975676051742","24.944407585507463,121.2975676051742","24.971490166877924,121.32727578579939","24.971490166877924,121.267859424549"
6,大湳市地重劃,八德區,大福段,625,609.87,住宅區,桃園市,"24.97002895272029,121.29685511944416",19,3,3,"24.971490166877924,121.2975676051742","24.998572748248385,121.2975676051742","24.944407585507463,121.2975676051742","24.971490166877924,121.32727578579939","24.971490166877924,121.267859424549"
7,高鐵桃園站特區,中壢區,青平段,25,3882.49,商業區,桃園市,"25.01058742196951,121.2142892181855",20,4,4,"25.00925279620425,121.21669381857234","25.036335377574712,121.21669381857234","24.98217021483379,121.21669381857234","25.00925279620425,121.24640199919753","25.00925279620425,121.18698563794715"
