land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
198,"25.0588620893075,121.216694894785",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4302.675176833003,5118.098817183922,5369.501675999457,1317.791079684499,7298.020999992915
212,"25.075643126231,121.209083109455",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4095.158414817794,3646.916123825592,6183.935987071425,2144.810245572056,6849.061447172861
231,"25.0385485115175,121.21465329879",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4567.86944794992,6484.534080195185,4205.019171725681,2306.8315888433785,7374.551450362403
238,"25.075840276724,121.20896117994",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4095.713368783967,3629.53509281026,6194.887179371093,2162.9900289010398,6844.003958461347
239,"25.0760064267185,121.20884650007",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4095.270524127387,3613.7907078883154,6203.500126315535,2178.136726778462,6838.666356995044
240,"25.042891352599,121.2186025125",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4749.918531017331,6392.046052354709,4718.653856499782,2151.503800126456,7646.467728397503
245,"25.0411498126425,121.22026966018",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4973.559674450706,6647.555963820638,4825.255456477104,2407.2009424008893,7851.892404425152
246,"25.042396006676,121.212940062765",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4234.434090382993,6046.258920207884,4159.821386530881,1850.270439024905,7100.100076871972
247,"25.04214229323049,121.21313814904",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4263.627454487718,6080.619234996934,4169.36508574417,1884.5984576257995,7125.968105642095
248,"25.041987017812,121.213351367665",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4290.099709422313,6107.661853355446,4184.121822744846,1910.268909176075,7150.867150540984
262,"25.017092002559,121.22204090138",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",6544.470965523005,8847.228286719845,5038.58203998462,4776.281903724149,8990.276786926768
