land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
38139,"24.9950703257705,121.117417304545",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5877.224576119208,8028.966447930688,4756.009369350956,3894.039849935933,8479.70305606348
38143,"24.9859590416725,121.09750679183",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5256.080677021521,7975.459864065708,3105.6758239207134,4505.715650760371,7275.850094463498
38167,"25.006570897444,121.03079932452",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4582.938209458051,6579.015236259773,4089.445778931829,7352.595913102753,2435.0928274734315
38168,"24.996506595004,121.026276498795",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5572.821576810514,7747.566902694629,4481.994481160428,8176.458353996832,3639.144579934547
38179,"25.034231787316003,121.073133985065",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",889.1683387489611,2165.5375893738105,3859.0136074206052,2866.91893712615,3367.741957924072
38213,"25.035445930531505,121.13183041371",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6262.1763543887055,6503.723987866373,7357.415949585745,3334.682092749422,9235.20932946116
38231,"24.981507775246,121.096323017495",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5627.492441429232,8402.909583009005,3275.4965988963377,5006.019783219597,7500.963682653289
38232,"24.9814863354135,121.09586186903",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5608.240582353857,8390.880955222608,3240.1029019169105,5012.298354233348,7467.860542420908
38233,"25.0420209939765,121.13633839266",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6856.503758888585,6761.94009140306,8142.464416932098,4023.716514009333,9788.33617199752
38256,"25.026593124378,121.056975405795",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1370.5046742468217,3294.5156637778455,3301.976574143711,4368.898697969156,1627.9044057657181
38270,"25.014072472401,121.06376719021",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1543.2905439212877,4436.148009604395,1756.2543668978271,3934.6360994493175,2695.3175682320584
38294,"24.9936487100715,121.062424788685",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3736.5387765811415,6695.811124589972,1044.008632202826,5279.792161913313,4246.506757207044
38299,"25.0342128111145,121.068344563705",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",876.9296717113059,2163.458992253263,3854.5758443320547,3331.0979857089737,2901.9768593534163
38319,"25.021500503523,121.059747105205",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1226.1711194849715,3723.437920733572,2672.7009454290514,4127.41650633757,1988.2023800276986
38331,"24.9697577768095,121.08561631084",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6472.901811370875,9415.370331731006,3626.040736640413,6463.170695172786,7746.8314994245075
38349,"25.015226351720003,121.039262374795",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3398.632317309274,5298.995893172452,3608.6546979711925,6283.551735370357,1265.2347332379272
38354,"25.0351122899095,121.080965910035",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1415.0458802589242,2305.6097197955514,4085.238013143081,2165.868208674577,4158.5172397904125
38362,"25.043847348352,121.13468092153",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6749.219615538114,6561.307319620855,8127.327112206215,3966.624688250645,9661.681287915508
38377,"25.001029863282,121.129227526475",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6562.823241801279,8308.394736370552,5925.558901578977,4067.4048126735656,9358.526613782553
38436,"24.9735868620675,121.115498253245",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7417.1514435329345,9960.717682824132,5367.757120941188,6065.850498472389,9551.03286326238
38438,"24.970833757506,121.107097619805",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7190.979896343123,9886.521749589103,4865.955336166495,6211.034170122981,9101.227344211018
38455,"25.001224316824,121.08790759636",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3307.9602300132265,6064.582191474845,1762.5046075480761,3070.7771285225554,5517.246351328894
38505,"25.016247731113,121.05173461604",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2216.358744725385,4556.692231230293,2657.3275116551163,5029.405397943482,1584.8858383294098
38527,"25.0218756279955,121.095965563315",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2616.655883097631,4353.949285304961,3568.925467979509,675.9932247694081,5587.331989573493
38537,"25.0017811278325,121.03268131489",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4705.978164182437,6900.012415196271,3831.796503935568,7352.928605988462,2865.536241213563
38547,"24.986911656826003,121.12657959895",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7160.321604766321,9306.623352066998,5824.738704973299,5132.589160957191,9704.818369330802
38555,"25.0382733253185,121.137898375645",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6919.417147792533,7005.7790231305835,8042.139600760658,4013.970933460394,9880.474828686645
38578,"24.970703200027,121.104110690015",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7053.729767462168,9791.60181817293,4651.364491481402,6199.23312835995,8892.05464887253
38586,"24.9874856897695,121.022563550635",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6496.141820192053,8784.260515156606,5023.6333870800145,8958.156351009793,4705.0641702389175
38598,"25.002599837746,121.13013412707",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6573.371441374447,8253.742881593778,6024.493528764981,4016.697467422821,9395.149891395211
38615,"24.9744898286655,121.087609860605",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6019.10064709671,8935.046175876234,3259.5302832486695,5907.334099902034,7453.248850854491
38633,"25.034952153471,121.065730729435",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1049.7082040953512,2126.4979034383455,3960.0603440637997,3607.0682445329708,2678.1332549642066
38651,"25.030000443296,121.138283322135",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6846.318228890906,7319.36562910961,7627.0135092989,3856.2405074063995,9841.434831194429
38665,"24.9891431828885,121.108124713435",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5617.747466913448,8088.436971099437,3961.7882349319684,4219.70993281559,7956.032767756857
